id,title,link,brand,google_product_category,price,availability,image_link,image_alt_text,gender,description,condition
sea-green-small-dots-triangle-linen-block-printed-stole,Sea Green Small Dots Triangle Linen Block Printed Stole,https://itminan.in/products/sea-green-small-dots-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-sea-green-dotted-triangle-1.jpg?v=1597143800,linen sea green dotted triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourSea GreenThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
sea-green-small-triangle-linen-block-printed-stole,Sea Green Small Triangle Linen Block Printed Stole,https://itminan.in/products/sea-green-small-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-sea-green-triangle-1.jpg?v=1597143786,linen sea green triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourSea GreenThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
black-small-triangle-linen-block-printed-stole,Black Small Triangle Linen Block Printed Stole,https://itminan.in/products/black-small-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-black-triangle-1.jpg?v=1597142851,linen black triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColorBlackThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
black-dot-triangle-linen-block-printed-stole,Black Dot Triangle Linen Block Printed Stole,https://itminan.in/products/black-dot-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-black-dotted-triangle-1.jpg?v=1597142843,linen black dotted triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColorBlackThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
black-small-dots-linen-block-printed-stole,Black Small Dots Linen Block Printed Stole,https://itminan.in/products/black-small-dots-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-black-dot-1.jpg?v=1597142835,linen black dot 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColorBlackThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
green-shuriken-motif-handmade-paper-hand-block-printed-notebook-a4,Green Shuriken Motif Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/green-shuriken-motif-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_d29bce9c-fa48-4fe6-85ec-d0b5a8d40b66.jpg?v=1583317797,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorGreenPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
red-flower-motif-handmade-paper-hand-block-printed-notebook-a4,Red Flower Motif Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/red-flower-motif-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_8bfe588f-8ccd-48e4-9419-5443a10a9206.jpg?v=1583317780,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorRedPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
black-small-plant-handmade-paper-hand-block-printed-notebook-a4,Black Small Plant Handmade Paper & Hand Block Printed Notebook A4,https://itminan.in/products/black-small-plant-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_7c666924-a552-4ba8-ab73-faf41aa5b657.jpg?v=1583317753,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorBlackPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
indigo-vertical-lines-handmade-paper-hand-block-printed-notebook-a4,Indigo Vertical Lines Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/indigo-vertical-lines-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_5a43b18a-b174-4da9-8339-e2847dca9b7f.jpg?v=1583317736,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftDabu Hand Block PrintingPaperHand Made PaperColorIndigoPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
indigo-long-leaves-handmade-paper-hand-block-printed-notebook-a4,Indigo Long Leaves Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/indigo-long-leaves-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_f921da07-1e58-41f4-a0e9-65be1ba0add2.jpg?v=1583317716,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftDabu Hand Block PrintingPaperHand Made PaperColorIndigoPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
